Severity,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,Los Angeles,CA,55.0,55.0,80.0,30.03,10.0,0.0,0.0
2,San Diego,CA,52.0,52.0,86.0,30.22,10.0,3.0,0.0
3,Hays,TX,83.0,83.0,46.0,29.1,10.0,5.0,0.0
2,Anne Arundel,MD,51.0,51.0,66.0,29.35,10.0,9.0,0.0
2,Chester,PA,50.0,50.0,82.0,29.34,10.0,9.0,0.0
2,East Baton Rouge,LA,53.0,53.0,74.0,30.04,10.0,12.0,0.0
2,Marion,FL,69.0,69.0,73.0,30.05,10.0,5.0,0.0
2,Sarasota,FL,78.0,78.0,90.0,29.95,7.0,0.0,0.17
2,Wake,NC,36.0,29.0,76.0,29.75,10.0,9.0,0.0
2,Prince William,VA,42.0,38.0,65.0,30.14,10.0,7.0,0.0
3,Kings,NY,39.0,34.0,96.0,29.55,6.0,7.0,0.02
3,Riverside,CA,81.0,81.0,18.0,29.36,10.0,7.0,0.0
3,Osceola,FL,81.0,81.0,85.0,29.87,10.0,10.0,0.0
2,Jackson,MO,75.0,75.0,84.0,28.92,10.0,17.0,0.01
2,Tarrant,TX,41.0,41.0,53.0,29.82,10.0,0.0,0.0
2,Los Angeles,CA,59.0,59.0,90.0,29.18,3.0,3.0,0.0
2,Miami-Dade,FL,75.0,75.0,87.0,30.0,9.0,7.0,0.01
2,New Castle,DE,74.0,74.0,85.0,29.8,10.0,0.0,0.0
1,Davidson,TN,67.0,67.0,84.0,29.48,10.0,9.0,0.0
2,Colleton,SC,54.0,54.0,44.0,29.7,10.0,10.0,0.0
2,Maricopa,AZ,42.0,42.0,49.0,28.84,10.0,3.0,0.0
2,Greenville,SC,43.0,36.0,58.0,28.92,10.0,15.0,0.0
2,Denver,CO,57.0,57.0,77.0,24.47,10.0,0.0,0.0
2,Harris,TX,80.0,80.0,81.0,29.6,7.0,7.0,0.45
2,Oklahoma,OK,93.0,93.0,28.0,28.72,10.0,13.0,0.0
3,Alameda,CA,58.0,58.0,72.0,29.54,10.0,0.0,0.0
3,Madison,AL,79.0,79.0,91.0,29.29,9.0,5.0,0.0
2,Harris,TX,71.0,71.0,78.0,29.68,10.0,9.0,0.0
3,Fairfield,CT,37.0,29.0,59.0,29.73,10.0,12.0,0.0
2,Tooele,UT,59.0,59.0,42.0,25.38,10.0,3.0,0.0
2,San Diego,CA,63.0,63.0,84.0,29.92,10.0,8.0,0.0
2,Huntington,IN,39.0,39.0,88.0,28.99,10.0,0.0,0.0
2,Pottawattamie,IA,27.0,12.2,81.0,29.8,1.0,24.2,0.0
2,Travis,TX,85.0,85.0,65.0,29.3,10.0,13.0,0.0
3,San Diego,CA,64.0,64.0,72.0,29.46,10.0,8.0,0.0
2,District of Columbia,DC,47.0,47.0,57.0,29.84,10.0,0.0,0.0
2,Oklahoma,OK,60.0,60.0,69.0,28.7,10.0,7.0,0.0
2,Oklahoma,OK,77.0,77.0,43.0,28.48,10.0,25.0,0.0
2,Davidson,TN,71.0,71.0,78.0,29.52,10.0,0.0,0.0
2,Harris,TX,91.0,91.0,61.0,29.98,10.0,13.0,0.0
2,San Diego,CA,66.0,66.0,65.0,29.91,10.0,8.0,0.0
2,Los Angeles,CA,59.0,59.0,38.0,29.96,10.0,3.0,0.0
2,Placer,CA,84.0,84.0,28.0,29.81,10.0,13.0,0.0
2,Los Angeles,CA,52.0,52.0,69.0,30.01,10.0,0.0,0.0
2,Clackamas,OR,49.0,46.0,69.0,30.15,10.0,7.0,0.0
2,Santa Clara,CA,40.0,37.0,89.0,30.28,10.0,5.0,0.0
2,Los Angeles,CA,70.0,70.0,51.0,29.67,10.0,3.0,0.0
2,Los Angeles,CA,82.0,82.0,26.0,29.63,10.0,7.0,0.0
2,Fresno,CA,73.0,73.0,26.0,29.55,10.0,7.0,0.0
2,Washington,OR,38.0,38.0,93.0,29.67,6.0,0.0,0.0
2,Bergen,NJ,31.0,23.0,37.0,30.42,10.0,9.0,0.0
3,Brevard,FL,66.0,66.0,93.0,30.18,10.0,3.0,0.0
2,Miami-Dade,FL,76.0,76.0,94.0,29.97,10.0,5.0,0.06
2,Brevard,FL,69.0,69.0,68.0,30.1,10.0,13.0,0.0
3,Richmond City,VA,73.0,73.0,73.0,30.15,10.0,9.0,0.0
4,Miami-Dade,FL,73.0,73.0,68.0,29.89,10.0,3.0,0.0
2,Mecklenburg,NC,67.0,67.0,90.0,29.32,1.0,7.0,0.09
2,Monroe,NY,27.0,17.0,81.0,29.69,1.0,10.0,0.0
3,Muscogee,GA,64.0,64.0,54.0,29.7,10.0,7.0,0.0
2,Genesee,MI,39.0,36.0,46.0,29.49,10.0,5.0,0.0
2,Orange,FL,93.0,93.0,33.0,29.81,10.0,13.0,0.0
2,Harrisonburg,VA,38.0,38.0,87.0,28.68,10.0,0.0,0.0
4,Napa,CA,80.0,80.0,14.0,29.68,10.0,5.0,0.0
2,Shasta,CA,75.0,75.0,16.0,29.56,10.0,12.0,0.0
3,Limestone,AL,54.0,54.0,59.0,29.27,10.0,5.0,0.0
3,Greenville,SC,80.0,80.0,32.0,28.98,10.0,10.0,0.0
