State,County,Start_Lat,Start_Lng,count
FL,Suwannee,29.92843,-82.86026899999999,487
FL,Taylor,30.144635,-83.610119,96
FL,Union,30.020849,-82.369185,68
FL,Volusia,29.21297,-81.10059,2774
FL,Wakulla,30.174626,-84.375045,199
FL,Walton,30.35376,-86.25460799999999,606
FL,Washington,30.790911,-85.52893900000001,237
GA,Appling,31.795340000000003,-82.39887,19
GA,Atkinson,31.184129,-82.84618,10
GA,Bacon,31.575071,-82.461733,20
GA,Baker,31.328703000000004,-84.334772,12
GA,Baldwin,33.081791,-83.239626,77
GA,Banks,34.29995,-83.40284,139
GA,Barrow,34.09836,-83.80281,195
GA,Bartow,34.242414000000004,-84.76605,513
GA,Ben Hill,31.713198,-83.204939,16
GA,Berrien,31.110931,-83.295946,13
GA,Bibb,32.7534,-83.71133,539
GA,Bleckley,32.571448,-83.23123000000001,45
GA,Brantley,31.200305,-82.143772,16
GA,Brooks,30.942499,-83.49941899999999,48
GA,Bryan,31.93402,-81.32234,179
GA,Bulloch,32.305682,-81.873228,142
GA,Burke,32.97073,-81.979599,41
GA,Butts,33.257839000000004,-84.092979,353
GA,Calhoun,31.509117,-84.501822,12
GA,Camden,30.809018,-81.80292299999999,114
GA,Candler,32.374229,-82.066887,33
GA,Carroll,33.664455,-85.149487,488
GA,Catoosa,34.90946,-85.12253,185
GA,Charlton,30.829183,-82.005413,18
GA,Chatham,32.04371,-81.06914,1489
GA,Chattahoochee,32.313482,-84.798781,25
GA,Chattooga,34.492931,-85.35778,67
GA,Cherokee,34.145939,-84.516632,695
GA,Clarke,33.95664,-83.37982,91
GA,Clay,31.59934,-84.84813,5
GA,Clayton,33.629433,-84.40289,2707
GA,Clinch,31.028170000000003,-82.78407,5
GA,Cobb,33.900101,-84.447914,5135
GA,Coffee,31.500959,-82.86177099999999,24
GA,Colquitt,31.155974,-83.62104699999999,32
GA,Columbia,33.512863,-82.048744,373
GA,Cook,31.211366,-83.459237,82
GA,Coweta,33.44651,-84.88044000000001,693
GA,Crawford,32.799572999999995,-84.031317,32
GA,Crisp,31.835707,-83.713852,41
GA,Dade,34.97741,-85.4173,89
GA,Dawson,34.51534,-84.238338,82
GA,DeKalb,33.918056,-84.33802800000001,9921
GA,Decatur,30.741658,-84.462558,28
GA,Dekalb,33.835079,-84.200264,237
GA,Dodge,32.17107,-83.15776,28
GA,Dooly,32.12058,-83.76146999999999,119
GA,Dougherty,31.576508,-84.033527,116
GA,Douglas,33.77678,-84.60206,814
GA,Early,31.11562,-85.03719,16
GA,Echols,30.711496,-83.06019599999999,3
GA,Effingham,32.124741,-81.387199,91
GA,Elbert,34.20454,-82.89169100000001,41
GA,Emanuel,32.400578,-82.307159,48
GA,Evans,32.15026,-81.79293,15
GA,Fannin,34.870354,-84.329122,5
GA,Fayette,33.403724,-84.599029,246
GA,Floyd,34.254054,-85.10783,85
GA,Forsyth,34.151031,-84.187393,235
GA,Franklin,34.389771,-83.232303,175
GA,Fulton,33.651927,-84.497727,23501
GA,Gilmer,34.677392,-84.478445,95
GA,Glascock,33.234003,-82.585565,1
GA,Glynn,31.130838,-81.579225,161
GA,Gordon,34.44876,-84.694039,164
GA,Grady,30.88163,-84.35561,19
GA,Greene,33.60148,-83.12633000000001,162
GA,Gwinnett,33.9136,-84.20464,3377
GA,Habersham,34.449844,-83.617703,127
GA,Hall,34.17626,-83.91631,476
GA,Hancock,33.243395,-83.034511,8
GA,Haralson,33.68575,-85.25703,153
GA,Harris,32.857185,-84.978592,110
GA,Hart,34.473694,-83.058266,51
GA,Heard,33.239231,-84.997416,71
GA,Henry,33.5411,-84.267738,1666
GA,Houston,32.481756,-83.73,453
GA,Irwin,31.589931,-83.092632,24
GA,Jackson,34.15571,-83.642252,499
GA,Jasper,33.267520000000005,-83.719545,16
GA,Jeff Davis,31.843611,-82.53299,12
GA,Jefferson,33.150459999999995,-82.38686,32
GA,Jenkins,32.631783,-81.920025,10
GA,Johnson,32.760479,-82.621299,6
GA,Jones,32.921524,-83.59156,36
GA,Lamar,33.054259,-84.098776,48
GA,Lanier,31.04746,-83.03544000000001,4
GA,Laurens,32.49622,-82.97473000000001,100
GA,Lee,31.780621000000004,-84.136078,48
GA,Liberty,31.78384,-81.37773,145
GA,Lincoln,33.788990000000005,-82.47647099999999,11
GA,Long,31.762815000000003,-81.65337099999999,12
GA,Lowndes,30.682156,-83.225445,217
GA,Lumpkin,34.4272,-83.99087,11
GA,Macon,32.339031,-84.020312,28
GA,Macon-Bibb County,32.7249,-83.65948,506
GA,Madison,34.049549,-83.189812,8
GA,Marion,32.317707,-84.554451,3
GA,McDuffie,33.505329,-82.554626,91
GA,McIntosh,31.53211,-81.44518000000001,77
GA,Mcduffie,33.41643,-82.39388000000001,2
GA,Mcintosh,31.592221,-81.41466899999999,2
GA,Meriwether,33.09861,-84.57825,93
GA,Miller,31.171295,-84.740473,17
GA,Mitchell,31.247490000000003,-84.07425,25
GA,Monroe,32.991314,-83.844284,414
GA,Montgomery,32.202671,-82.48853000000001,14
GA,Morgan,33.591763,-83.626213,193
GA,Murray,34.663731,-84.828568,25
GA,Muscogee,32.446098,-84.927773,277
GA,Newton,33.615738,-83.920578,291
GA,Oconee,33.924755,-83.51258100000001,60
GA,Oglethorpe,33.83641,-83.08816999999999,25
GA,Paulding,33.805667,-84.758092,76
GA,Peach,32.612583,-83.742805,266
GA,Pickens,34.513911,-84.430306,67
GA,Pierce,31.498555,-82.20141,11
GA,Pike,33.176044,-84.266276,50
GA,Polk,34.029369,-85.247704,85
GA,Pulaski,32.333090000000006,-83.52373,9
GA,Putnam,33.42729,-83.37077,27
GA,Quitman,31.96929,-84.98531,1
GA,Rabun,34.862659,-83.39135,13
GA,Randolph,31.66617,-84.82643399999999,10
GA,Richmond,33.49691,-82.075684,5294
GA,Rockdale,33.645582,-84.013974,325
GA,Schley,32.258227000000005,-84.262466,3
GA,Screven,32.793038,-81.593304,9
GA,Seminole,31.019827000000003,-84.828525,9
GA,Spalding,33.311440000000005,-84.29065,269
GA,Stephens,34.543,-83.36269,41
GA,Stewart,32.183765,-84.821426,28
GA,Sumter,31.95512,-84.023442,33
GA,Talbot,32.8004,-84.58713900000001,27
GA,Taliaferro,33.529781,-82.91040799999999,31
GA,Tattnall,32.124362,-82.061153,17
GA,Taylor,32.592403999999995,-84.38453299999999,20
GA,Telfair,31.928947,-82.679291,10
GA,Terrell,31.772464000000003,-84.44815,16
GA,Thomas,31.006481,-83.868053,23
GA,Tift,31.4335,-83.51978000000001,115
GA,Toombs,32.177025,-82.40514399999999,31
GA,Treutlen,32.43895,-82.67618,90
GA,Troup,33.04229,-84.975541,344
GA,Turner,31.680857,-83.620064,41
GA,Twiggs,32.624374,-83.36969,129
GA,Union,34.773544,-83.91125799999999,6
GA,Upson,32.93103,-84.33395,42
GA,Walker,34.950901,-85.31147800000001,43
GA,Walton,33.839211,-83.904327,308
GA,Ware,31.242834,-82.43109100000001,26
GA,Warren,33.498162,-82.81169,82
GA,Washington,32.993567,-82.774173,11
GA,Wayne,31.552573,-81.81541,13
GA,Webster,31.976065,-84.61499,7
GA,Wheeler,32.091264,-82.863884,14
GA,White,34.710671999999995,-83.787832,25
GA,Whitfield,34.69041,-85.00291999999999,221
GA,Wilcox,32.104359,-83.581024,2
GA,Wilkes,33.74058,-82.72285,51
GA,Wilkinson,32.85516,-83.34716,16
GA,Worth,31.510720000000003,-83.7572,55
IA,Adair,41.49329,-94.6564,157
IA,Adams,40.97838,-94.73113,3
IA,Allamakee,43.24067,-91.56651,9
IA,Appanoose,40.732529,-92.867943,17
IA,Audubon,41.63118,-95.072792,2
IA,Benton,41.963588,-92.076666,46
IA,Black Hawk,42.491667,-92.339644,113
IA,Boone,42.034791,-93.932992,31
IA,Bremer,42.7811,-92.53444,10
IA,Buchanan,42.447857,-91.921829,45
IA,Buena Vista,42.633634,-95.161396,24
IA,Butler,42.744681,-92.734309,4
IA,Calhoun,42.473783000000005,-94.671254,15
IA,Carroll,42.04966,-94.878632,3
IA,Cass,41.497839,-95.123866,139
IA,Cedar,41.63698,-91.03878,144
IA,Cerro Gordo,43.133747,-93.355896,57
IA,Cherokee,42.76828,-95.553351,29
IA,Chickasaw,42.9651,-92.20409,13
IA,Clarke,41.0659,-93.78125,21
IA,Clay,43.126602,-95.160673,23
IA,Clayton,42.693643,-91.07356,24
IA,Clinton,41.815541,-90.384038,60
IA,Crawford,42.004967,-95.367226,12
IA,Dallas,41.512023,-94.198418,363
IA,Davis,40.693691,-92.505692,8
IA,Decatur,40.74373,-93.84159,34
IA,Delaware,42.630825,-91.3657,15
IA,Des Moines,40.834861,-91.302448,20
IA,Dickinson,43.417568,-95.094017,12
IA,Dubuque,42.495483,-90.663221,52
IA,Fayette,42.64228,-91.9087,24
IA,Floyd,43.121063,-92.738724,20
IA,Franklin,42.887288,-93.350883,33
