State,County,Start_Lat,Start_Lng,count,State_Name
GA,Dekalb,33.835079,-84.200264,237,Georgia
GA,Dodge,32.17107,-83.15776,28,Georgia
GA,Dooly,32.12058,-83.76146999999999,119,Georgia
GA,Dougherty,31.576508,-84.033527,116,Georgia
GA,Douglas,33.77678,-84.60206,814,Georgia
GA,Early,31.11562,-85.03719,16,Georgia
GA,Echols,30.711496,-83.06019599999999,3,Georgia
GA,Effingham,32.124741,-81.387199,91,Georgia
GA,Elbert,34.20454,-82.89169100000001,41,Georgia
GA,Emanuel,32.400578,-82.307159,48,Georgia
GA,Evans,32.15026,-81.79293,15,Georgia
GA,Fannin,34.870354,-84.329122,5,Georgia
GA,Fayette,33.403724,-84.599029,246,Georgia
GA,Floyd,34.254054,-85.10783,85,Georgia
GA,Forsyth,34.151031,-84.187393,235,Georgia
GA,Franklin,34.389771,-83.232303,175,Georgia
GA,Fulton,33.651927,-84.497727,23501,Georgia
GA,Gilmer,34.677392,-84.478445,95,Georgia
GA,Glascock,33.234003,-82.585565,1,Georgia
GA,Glynn,31.130838,-81.579225,161,Georgia
GA,Gordon,34.44876,-84.694039,164,Georgia
GA,Grady,30.88163,-84.35561,19,Georgia
GA,Greene,33.60148,-83.12633000000001,162,Georgia
GA,Gwinnett,33.9136,-84.20464,3377,Georgia
GA,Habersham,34.449844,-83.617703,127,Georgia
GA,Hall,34.17626,-83.91631,476,Georgia
GA,Hancock,33.243395,-83.034511,8,Georgia
GA,Haralson,33.68575,-85.25703,153,Georgia
GA,Harris,32.857185,-84.978592,110,Georgia
GA,Hart,34.473694,-83.058266,51,Georgia
GA,Heard,33.239231,-84.997416,71,Georgia
GA,Henry,33.5411,-84.267738,1666,Georgia
GA,Houston,32.481756,-83.73,453,Georgia
GA,Irwin,31.589931,-83.092632,24,Georgia
GA,Jackson,34.15571,-83.642252,499,Georgia
GA,Jasper,33.267520000000005,-83.719545,16,Georgia
GA,Jeff Davis,31.843611,-82.53299,12,Georgia
GA,Jefferson,33.150459999999995,-82.38686,32,Georgia
GA,Jenkins,32.631783,-81.920025,10,Georgia
GA,Johnson,32.760479,-82.621299,6,Georgia
GA,Jones,32.921524,-83.59156,36,Georgia
GA,Lamar,33.054259,-84.098776,48,Georgia
GA,Lanier,31.04746,-83.03544000000001,4,Georgia
GA,Laurens,32.49622,-82.97473000000001,100,Georgia
GA,Lee,31.780621000000004,-84.136078,48,Georgia
GA,Liberty,31.78384,-81.37773,145,Georgia
GA,Lincoln,33.788990000000005,-82.47647099999999,11,Georgia
GA,Long,31.762815000000003,-81.65337099999999,12,Georgia
GA,Lowndes,30.682156,-83.225445,217,Georgia
GA,Lumpkin,34.4272,-83.99087,11,Georgia
GA,Macon,32.339031,-84.020312,28,Georgia
GA,Macon-Bibb County,32.7249,-83.65948,506,Georgia
GA,Madison,34.049549,-83.189812,8,Georgia
GA,Marion,32.317707,-84.554451,3,Georgia
GA,McDuffie,33.505329,-82.554626,91,Georgia
GA,McIntosh,31.53211,-81.44518000000001,77,Georgia
GA,Mcduffie,33.41643,-82.39388000000001,2,Georgia
GA,Mcintosh,31.592221,-81.41466899999999,2,Georgia
GA,Meriwether,33.09861,-84.57825,93,Georgia
GA,Miller,31.171295,-84.740473,17,Georgia
GA,Mitchell,31.247490000000003,-84.07425,25,Georgia
GA,Monroe,32.991314,-83.844284,414,Georgia
GA,Montgomery,32.202671,-82.48853000000001,14,Georgia
GA,Morgan,33.591763,-83.626213,193,Georgia
GA,Murray,34.663731,-84.828568,25,Georgia
GA,Muscogee,32.446098,-84.927773,277,Georgia
GA,Newton,33.615738,-83.920578,291,Georgia
GA,Oconee,33.924755,-83.51258100000001,60,Georgia
GA,Oglethorpe,33.83641,-83.08816999999999,25,Georgia
GA,Paulding,33.805667,-84.758092,76,Georgia
GA,Peach,32.612583,-83.742805,266,Georgia
GA,Pickens,34.513911,-84.430306,67,Georgia
GA,Pierce,31.498555,-82.20141,11,Georgia
GA,Pike,33.176044,-84.266276,50,Georgia
GA,Polk,34.029369,-85.247704,85,Georgia
GA,Pulaski,32.333090000000006,-83.52373,9,Georgia
GA,Putnam,33.42729,-83.37077,27,Georgia
GA,Quitman,31.96929,-84.98531,1,Georgia
GA,Rabun,34.862659,-83.39135,13,Georgia
GA,Randolph,31.66617,-84.82643399999999,10,Georgia
GA,Richmond,33.49691,-82.075684,5294,Georgia
GA,Rockdale,33.645582,-84.013974,325,Georgia
GA,Schley,32.258227000000005,-84.262466,3,Georgia
GA,Screven,32.793038,-81.593304,9,Georgia
GA,Seminole,31.019827000000003,-84.828525,9,Georgia
GA,Spalding,33.311440000000005,-84.29065,269,Georgia
GA,Stephens,34.543,-83.36269,41,Georgia
GA,Stewart,32.183765,-84.821426,28,Georgia
GA,Sumter,31.95512,-84.023442,33,Georgia
GA,Talbot,32.8004,-84.58713900000001,27,Georgia
GA,Taliaferro,33.529781,-82.91040799999999,31,Georgia
GA,Tattnall,32.124362,-82.061153,17,Georgia
GA,Taylor,32.592403999999995,-84.38453299999999,20,Georgia
GA,Telfair,31.928947,-82.679291,10,Georgia
GA,Terrell,31.772464000000003,-84.44815,16,Georgia
GA,Thomas,31.006481,-83.868053,23,Georgia
GA,Tift,31.4335,-83.51978000000001,115,Georgia
GA,Toombs,32.177025,-82.40514399999999,31,Georgia
GA,Treutlen,32.43895,-82.67618,90,Georgia
GA,Troup,33.04229,-84.975541,344,Georgia
GA,Turner,31.680857,-83.620064,41,Georgia
GA,Twiggs,32.624374,-83.36969,129,Georgia
GA,Union,34.773544,-83.91125799999999,6,Georgia
GA,Upson,32.93103,-84.33395,42,Georgia
GA,Walker,34.950901,-85.31147800000001,43,Georgia
GA,Walton,33.839211,-83.904327,308,Georgia
GA,Ware,31.242834,-82.43109100000001,26,Georgia
GA,Warren,33.498162,-82.81169,82,Georgia
GA,Washington,32.993567,-82.774173,11,Georgia
GA,Wayne,31.552573,-81.81541,13,Georgia
GA,Webster,31.976065,-84.61499,7,Georgia
GA,Wheeler,32.091264,-82.863884,14,Georgia
GA,White,34.710671999999995,-83.787832,25,Georgia
GA,Whitfield,34.69041,-85.00291999999999,221,Georgia
GA,Wilcox,32.104359,-83.581024,2,Georgia
